DATE,CRSPLCV1,CRSPLCVT
20120907,1000.00,1000.00
20120910,995.94,995.99
20120911,1000.08,1000.14
20120912,1001.69,1001.95
20120913,1018.14,1018.65
20120914,1021.02,1021.52
20120917,1015.19,1015.78
20120918,1013.94,1014.55
20120919,1014.93,1015.61
20120920,1016.07,1017.01
20120921,1015.72,1016.68
20120924,1015.12,1016.08
20120925,1005.88,1006.83
20120926,1001.03,1002.26
20120927,1007.91,1009.31
20120928,1004.13,1005.53
20121001,1007.49,1008.91
20121002,1008.38,1009.91
20121003,1010.90,1012.77
20121004,1020.17,1022.08
20121005,1020.77,1023.24
20121008,1019.12,1021.59
20121009,1011.42,1013.88
20121010,1003.82,1006.27
20121011,1005.45,1008.20
20121012,1000.48,1003.24
20121015,1008.83,1011.61
20121016,1017.23,1020.04
20121017,1025.24,1028.28
20121018,1026.95,1030.08
20121019,1011.57,1014.65
20121022,1010.12,1013.23
20121023,994.42,997.49
20121024,991.77,994.82
20121025,996.74,999.84
20121026,994.22,997.31
20121031,995.40,998.74
20121101,1005.83,1009.29
20121102,996.79,1000.22
20121105,997.89,1001.38
20121106,1007.05,1010.59
20121107,980.58,985.02
20121108,970.03,974.43
20121109,971.50,975.96
20121112,970.85,975.31
20121113,965.41,970.33
20121114,952.41,957.82
20121115,950.07,955.48
20121116,953.90,959.49
20121119,970.23,976.11
20121120,970.82,976.75
20121121,973.03,978.99
20121123,985.51,991.78
20121126,982.44,988.72
20121127,976.81,983.16
20121128,984.48,991.11
20121129,988.28,995.03
20121130,988.99,995.76
20121203,983.50,990.24
20121204,982.21,988.96
20121205,989.12,996.35
20121206,991.29,998.75
20121207,996.20,1003.81
20121210,997.31,1004.98
20121211,1002.22,1009.93
20121212,1004.16,1012.06
20121213,998.78,1007.04
20121214,996.51,1004.80
20121217,1007.06,1015.47
20121218,1018.32,1026.83
20121219,1010.57,1019.05
20121220,1016.92,1025.84
20121221,1006.69,1015.63
20121224,1003.39,1012.39
20121226,1000.76,1009.81
20121227,998.68,1007.98
20121228,987.58,996.86
20121231,1002.26,1011.70
20130102,1026.72,1036.65
20130103,1025.70,1035.63
20130104,1032.78,1042.77
20130107,1028.62,1038.58
20130108,1024.36,1034.85
20130109,1027.49,1038.02
20130110,1036.65,1047.27
20130111,1035.76,1046.57
20130114,1037.06,1047.89
20130115,1040.17,1051.03
20130116,1038.75,1049.80
20130117,1044.45,1055.57
20130118,1049.43,1060.64
20130122,1055.39,1066.70
20130123,1054.87,1066.20
20130124,1059.68,1071.10
20130125,1065.96,1077.44
20130128,1063.46,1074.96
20130129,1070.85,1082.45
20130130,1066.67,1078.69
20130131,1063.68,1075.75
20130201,1074.10,1086.30
20130204,1063.16,1075.26
20130205,1073.42,1085.68
20130206,1075.25,1087.61
20130207,1071.92,1084.63
20130208,1076.04,1088.80
20130211,1076.55,1089.35
20130212,1080.60,1093.48
20130213,1080.74,1094.37
20130214,1081.94,1095.78
20130215,1080.17,1094.09
20130219,1089.17,1103.48
20130220,1076.64,1090.81
20130221,1070.56,1084.98
20130222,1078.73,1093.51
20130225,1058.16,1072.67
20130226,1064.20,1078.97
20130227,1078.78,1094.04
20130228,1077.75,1093.05
20130301,1080.02,1095.38
20130304,1085.24,1100.69
20130305,1094.40,1109.99
20130306,1096.84,1112.86
20130307,1099.34,1115.52
20130308,1104.63,1121.01
20130311,1108.74,1125.23
20130312,1107.37,1123.86
20130313,1109.04,1126.00
20130314,1115.43,1132.52
20130315,1114.54,1131.61
20130318,1108.37,1125.43
20130319,1106.81,1123.88
20130320,1113.41,1130.59
20130321,1104.82,1121.89
20130322,1111.59,1128.77
20130325,1107.62,1124.73
20130326,1115.68,1133.30
20130327,1114.84,1132.61
20130328,1119.04,1136.89
20130401,1116.40,1134.23
20130402,1120.43,1138.34
20130403,1108.42,1126.43
20130404,1114.45,1132.67
20130405,1111.03,1129.21
20130408,1116.59,1135.43
20130409,1121.64,1140.57
20130410,1133.57,1152.74
20130411,1136.85,1156.19
20130412,1133.12,1152.44
20130415,1108.36,1127.26
20130416,1121.92,1141.05
20130417,1107.61,1126.50
20130418,1103.15,1122.02
20130419,1115.16,1134.28
20130422,1119.18,1138.40
20130423,1131.23,1150.65
20130424,1131.77,1151.43
20130425,1135.84,1155.61
20130426,1134.52,1154.31
20130429,1141.68,1161.62
20130430,1142.30,1162.27
20130501,1129.90,1149.74
20130502,1139.33,1159.44
20130503,1149.79,1170.14
20130506,1151.69,1172.08
20130507,1158.30,1178.87
20130508,1162.65,1184.01
20130509,1156.73,1178.41
20130510,1160.35,1182.12
20130513,1160.48,1182.44
20130514,1174.36,1196.94
20130515,1181.67,1204.89
20130516,1176.92,1200.13
20130517,1189.30,1212.80
20130520,1189.19,1212.73
20130521,1190.89,1214.49
20130522,1182.50,1206.08
20130523,1179.76,1203.57
20130524,1179.34,1203.16
20130528,1187.10,1211.11
20130529,1179.89,1203.93
